sort	DVDRef	Filename	MVisit1	FVisit1	MVisit2	FVisit2	ShareTime1	MTime1	FTime1	MTime2	FTime2	Protocol	ShareTime12	NbAlternation	EffectiveTime	MFTime1	MFTime02	MFTime2	FVisit1RateH	MVisit1RateH	DiffVisit1Rate	FTime1RateH	MTime1RateH	DiffTime1Rate	AlternationValue
105	183	2004\40183.xlsx	9	9	0	0	0	1.7	12.9	0.8	0.3	Shinichi	0	10	88.99999695	14.6	74.4	1.1	6	6	0	8.7	1.15	7.55	58.8
106	184	2004\40184.xlsx	4	5	0	0	1.2	48.6	33.6	0.7	0.5	Shinichi	2.1	7	92.29999695	81	11.3	0.3	3	3	0	21.84	31.59	9.75	87.5
107	185	2004\40185.xlsx	6	7	0	0	0	30.6	50.1	1.1	0.5	Shinichi	1	10	90.20000153	80.7	9.5	0.6	5	4	1	33.33	20.35	12.98	83.3
108	186	2004\40186.xlsx	7	9	0	0	0.1	18	40.9	0.2	0.5	Shinichi	0.4	11	90.50000153	58.8	31.7	0.4	6	5	1	27.12	11.93	15.19	73.3
109	187	2004\40187.xlsx	15	9	0	1	0.1	33.9	36.4	3.4	1.8	Shinichi	3.5	16	84.10000305	70.2	13.9	1.8	6	11	5	25.97	24.19	1.78	69.6
110	188	2004\40188.xlsx	16	23	2	0	0.4	4.8	29.9	6.2	1.8	Shinichi	3.2	26	89.99999847	34.3	55.7	5.2	15	11	4	19.93	3.2	16.73	68.4
111	189	2004\40189.xlsx	9	8	1	0	0.1	28.6	44.5	1.1	1.1	Shinichi	1.4	14	91.00000305	73	18	0.9	5	6	1	29.34	18.86	10.48	87.5
112	190	2004\40190.xlsx	9	7	1	1	0	46.4	19.6	2.1	1.2	Shinichi	0.6	10	92.40000153	66	26.4	2.7	5	6	1	12.73	30.13	17.4	66.7
113	191	2004\40191.xlsx	15	17	0	0	0.5	34.5	13	1.7	4.5	Shinichi	2.2	22	87.99999695	47	41	4.5	12	10	2	8.86	23.52	14.66	71
114	192	2004\40192.xlsx	9	10	0	0	0.8	32	37.4	2.2	1.1	Shinichi	1.7	14	90.80000305	68.6	22.2	2.4	7	6	1	24.71	21.15	3.56	77.8
115	193	2004\40193.xlsx	11	10	0	0	0.1	36.6	41.7	1.3	0.7	Shinichi	0.5	17	90.80000305	78.2	12.6	1.6	7	7	0	27.56	24.19	3.37	85
116	194	2004\40194.xlsx	13	10	3	0	3.7	39.1	48.5	3.4	1	Shinichi	7.1	17	90.19999695	83.9	6.3	1	7	9	2	32.26	26.01	6.25	77.3
117	196	2004\40196.xlsx	9	5	0	0	0	44.1	40.5	3	1.3	Shinichi	1.7	10	91.8	84.6	7.2	2.6	3	6	3	26.47	28.82	2.35	76.9
118	197	2004\40197.xlsx	15	14	0	0	0.3	43.7	33	1	2.3	Shinichi	1	23	91.89999695	76.4	15.5	2.6	9	10	1	21.55	28.53	6.98	82.1
119	198	2004\40198.xlsx	9	10	2	0	0.1	8.8	53.8	7.1	2	Shinichi	1.9	12	91.90000305	62.5	29.4	7.3	7	6	1	35.13	5.75	29.38	66.7
120	200	2004\40200.xlsx	9	15	3	1	0	11	26	6.2	4.8	Shinichi	1.9	18	90.89999695	37	53.9	9.1	10	6	4	17.16	7.26	9.9	78.3
121	201	2004\40201.xlsx	9	6	0	0	1.4	22	66.2	3	1.5	Shinichi	4.9	10	91.20000305	86.8	4.4	1	4	6	2	43.55	14.47	29.08	71.4
122	202	2004\40202.xlsx	8	11	0	0	0.4	36.5	48.3	1.7	0.3	Shinichi	1.4	14	91.80000305	84.4	7.4	1	7	5	2	31.57	23.86	7.71	77.8
123	203	2004\40203.xlsx	8	11	0	0	0.4	20.3	54.8	1.3	0.5	Shinichi	1.2	14	91.80000305	74.7	17.1	1	7	5	2	35.82	13.27	22.55	77.8
124	204	2004\40204.xlsx	9	9	1	1	0.2	37.9	32	4.6	1	Shinichi	2.8	13	92.6	69.7	22.9	3	6	6	0	20.73	24.56	3.83	76.5
125	205	2004\40205.xlsx	9	4	2	0	0.2	26.1	39.8	9.6	1.2	Shinichi	3.7	7	82.09999695	65.7	16.4	7.3	3	7	4	29.09	19.07	10.02	58.3
126	208	2004\40208.xlsx	5	14	0	0	0	1.8	36.9	1.4	0.9	Shinichi	0	6	90.1	38.7	51.4	2.3	9	3	6	24.57	1.2	23.37	33.3
127	210	2004\40210.xlsx	15	8	2	0	2.4	24.1	50.1	7.7	1.1	Shinichi	9	13	91.30000305	71.8	19.5	2.2	5	10	5	32.92	15.84	17.08	59.1
128	211	2004\40211.xlsx	9	7	2	1	0.7	39.4	43.2	2.2	2.4	Shinichi	3.3	12	89.19999695	81.9	7.3	2	5	6	1	29.06	26.5	2.56	80
129	212	2004\40212.xlsx	0	22	0	0	0	0	43.1	0	0.4	Shinichi	0	0	89.50000305	43.1	46.4	0.4	15	0	15	28.89	0	28.89	0
130	213	2004\40213.xlsx	11	16	0	0	0.4	24.3	50.7	1.1	1.2	Shinichi	1.4	22	91.09999695	74.6	16.5	1.3	11	7	4	33.39	16	17.39	84.6
131	214	2004\40214.xlsx	7	8	0	0	0	21.9	54.2	0	0.3	Shinichi	0	9	84.70000153	76.1	8.6	0.3	6	5	1	38.39	15.51	22.88	64.3
132	215	2004\40215.xlsx	17	13	0	0	0.1	22.9	43	1.5	2.5	Shinichi	1.9	23	89.50000305	65.8	23.7	2.2	9	11	2	28.83	15.35	13.48	79.3
133	220	2004\40220.xlsx	12	10	0	0	0	20.8	22.7	0.5	0.4	Shinichi	0.1	16	88.59999695	43.5	45.1	0.8	7	8	1	15.37	14.09	1.28	76.2
134	221	2004\40221.xlsx	7	33	0	0	0	1.8	9.1	0.8	1.4	Shinichi	0.3	14	85.49999695	10.9	74.6	1.9	23	5	18	6.39	1.26	5.13	35.9
135	222	2004\40222.xlsx	3	0	2	0	0	0.9	0	2.2	0	Shinichi	0	0	50.19999695	0.9	49.3	2.2	0	4	4	0	1.08	1.08	0
136	223	2004\40223.xlsx	24	16	0	0	3.6	29.7	40.7	3.6	2	Shinichi	5.5	28	92.20000305	66.8	25.4	3.7	10	16	6	26.49	19.33	7.16	71.8
137	224	2004\40224.xlsx	26	15	0	0	0.2	13.7	29.3	2.2	4.4	Shinichi	1.9	24	88.79999695	42.8	46	4.9	10	18	8	19.8	9.26	10.54	60
138	225	2004\40225.xlsx	24	23	3	0	0.1	12.8	43.4	4.4	1.9	Shinichi	2.4	35	92.59999695	56.1	36.5	4	15	16	1	28.12	8.29	19.83	76.1
139	226	2004\40226.xlsx	20	30	1	1	0.7	12.9	13.5	2.2	1.8	Shinichi	1.8	36	92.49999695	25.7	66.8	2.9	19	13	6	8.76	8.37	0.39	73.5
140	228	2004\40228.xlsx	13	15	0	0	0.4	17	54.8	3.4	1	Shinichi	3.5	24	90.89999695	71.4	19.5	1.3	10	9	1	36.17	11.22	24.95	88.9
141	229	2004\40229.xlsx	16	20	0	0	2.1	26	46.3	1.8	2.2	Shinichi	5	31	89.19999695	70.2	19	1.1	13	11	2	31.14	17.49	13.65	88.6
